FISH-QUANT	
RESULTS OF SPOT DETECTION PERFORMED ON 22-Aug-2023 
COMMENT	Batch detection
FILE	__SUMMARY_OF_MANY_FILES___
FILTERED	__SUMMARY_OF_MANY_FILES___
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	Type
107.5	300	1.35	547	583	1.4	widefield
ANALYSIS-SETTINGS 	_FQ_batch_settings_MATURE_230821_alldetectedspots.txt
CELL	NO_CELLS_DEFINED
X_POS	0	END
Y_POS	0	END
SPOTS
File	Cell	Pos_Y	Pos_X	Pos_Z	AMP	BGD	RES	SigmaX	SigmaY	SigmaZ	Cent_Y	Cent_X	Cent_Z	MuY	MuX	MuZ	ITERY_det	Y_det	X_det	Z_det	Y_min	Y_max	X_min	X_max	Z_min	Z_max	INT_raw	INT_filt	SC_det	SC_det_norm	TH_det	TH_fit	in_Nuc
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_1	1838.13	130187	4848.58	5204.81	3029.79	1.72596e+07	183.56	183.56	605.973	214.739	198.439	1215.27	225.632	111.743	1248.58	9	18	1213	17	16	20	1211	1215	13	21	8008	4145	0	0	1	1	-1
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_1	9458.55	120122	4878.93	1442.22	2416.64	8.70411e+06	248.549	248.549	708.115	214.422	219.028	1213.49	213.553	259.706	1278.93	10	89	1118	17	87	91	1116	1120	13	21	3902	1289	0	0	1	1	-1
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_1	9706.74	121652	4934.17	2911.31	2397.54	8.02721e+06	197.098	197.098	678.964	204.142	224.369	1236.89	139.239	284.647	1334.17	9	92	1132	17	90	94	1130	1134	13	21	5275	2669	0	0	1	1	-1
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_1	9945.99	123199	4980.47	949.246	1924.44	4.98586e+06	235.468	235.468	701.206	210.949	214.767	1182.66	163.487	218.604	1080.47	12	94	1147	18	92	96	1145	1149	14	22	3172	1120	0	0	1	1	-1
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_1	9976.39	120487	4831.43	1757.04	2476.49	8.0277e+06	178.917	178.917	628.676	203.945	214.308	1213.28	86.3883	194.047	1231.43	11	95	1122	17	93	97	1120	1124	13	21	4184	1591	0	0	1	1	-1
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_1	46525.8	78216.1	5404.61	2887.96	3125.74	1.691e+07	224.556	224.556	751.302	222.245	222.118	1147.25	300.752	278.586	904.608	9	433	728	20	431	435	726	730	16	24	6081	2754	0	0	1	1	-1
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_1	46658.9	78239.5	5382.68	3313.12	3022.44	1.41854e+07	206.584	206.584	731.582	201.398	213.543	1204.07	111.429	194.476	1182.68	8	436	729	19	434	438	727	731	15	23	6327	3016	0	0	1	1	-1
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_1	68313	57585.3	5601.46	1225.56	2255.43	3.28009e+06	152.13	152.13	603.362	211.316	212.833	1185.56	157.993	180.273	1101.46	10	637	537	20	635	639	535	539	16	24	3378	1077	0	0	1	1	-1
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_1	71031.6	59522.1	6859.64	1239.85	2249.77	2.79725e+06	137.427	137.427	575.434	213.204	212.3	1200.95	189.078	182.146	1159.64	9	662	555	24	660	664	553	557	20	28	3525	1282	0	0	1	1	-1
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_1	71727.4	55360.9	5442.37	2733.07	2703.49	1.11002e+07	193.584	193.584	649.013	217.407	214.655	1209.96	239.949	213.436	1242.37	7	668	516	19	666	670	514	518	15	23	5370	2659	0	0	1	1	-1
