image_name	cell_number	translating	untranslating
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_1	11	10
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_2	8	7
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_3	20	14
23-08-14_motorNeurons_SUNTAG307_MG132_002_XY1_555S.tif	Cell_1	30	10
23-08-14_motorNeurons_SUNTAG307_MG132_002_XY1_555S.tif	Cell_2	58	25
23-08-14_motorNeurons_SUNTAG307_MG132_002_XY1_555S.tif	Cell_3	16	7
23-08-14_motorNeurons_SUNTAG307_MG132_004_XY1_555S.tif	Cell_1	37	9
23-08-14_motorNeurons_SUNTAG307_MG132_004_XY1_555S.tif	Cell_2	25	12
23-08-14_motorNeurons_SUNTAG307_MG132_004_XY1_555S.tif	Cell_3	17	9
23-08-14_motorNeurons_SUNTAG307_MG132_004_XY1_555S.tif	Cell_4	11	11
23-08-14_motorNeurons_SUNTAG307_MG132_004_XY1_555S.tif	Cell_5	11	1
23-08-14_motorNeurons_SUNTAG307_MG132_004_XY1_555S.tif	Cell_6	15	5
23-08-14_motorNeurons_SUNTAG307_MG132_005_XY1_555S.tif	Cell_1	32	9
23-08-14_motorNeurons_SUNTAG307_MG132_005_XY1_555S.tif	Cell_2	65	27
23-08-14_motorNeurons_SUNTAG307_MG132_005_XY1_555S.tif	Cell_3	16	0
23-08-14_motorNeurons_SUNTAG307_MG132_005_XY1_555S.tif	Cell_4	38	16
23-08-14_motorNeurons_SUNTAG307_MG132_007_XY1_555S.tif	Cell_1	18	2
23-08-14_motorNeurons_SUNTAG307_MG132_007_XY1_555S.tif	Cell_2	26	5
23-08-14_motorNeurons_SUNTAG307_MG132_007_XY1_555S.tif	Cell_3	102	31
23-08-14_motorNeurons_SUNTAG307_MG132_007_XY1_555S.tif	Cell_4	75	25
23-08-14_motorNeurons_SUNTAG307_MG132_008_XY1_555S.tif	Cell_2	7	1
23-08-14_motorNeurons_SUNTAG307_MG132_008_XY1_555S.tif	Cell_3	10	1
23-08-14_motorNeurons_SUNTAG307_MG132_008_XY2_555S.tif	Cell_1	12	0
23-08-14_motorNeurons_SUNTAG307_MG132_008_XY2_555S.tif	Cell_2	6	1
23-08-14_motorNeurons_SUNTAG307_MG132_008_XY2_555S.tif	Cell_3	16	1
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_1	19	5
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_2	16	1
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	52	15
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_4	7	3
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_5	23	6
