image_name	cell_number	mRNA_entry	X Coord	Y Coord	Z Coord
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_1	0	130187	1838.13	4848.58
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_1	1	120122	9458.55	4878.93
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_1	7	57585.3	68313	5601.46
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_1	8	59522.1	71031.6	6859.64
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_1	9	55360.9	71727.4	5442.37
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_1	17	35320.7	108810	9789.76
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_1	18	36492.8	109099	8575.28
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_1	19	37545.1	110021	8678.73
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_2	21	213742	131858	3871.34
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_2	22	219582	136178	3710.81
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_2	24	218225	138145	3215.15
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_2	26	182787	146758	3872.78
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_2	29	117379	164015	5021.35
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_2	30	161758	167288	3825.84
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_2	31	138251	176702	5271.28
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_3	39	58075.1	150122	8556.91
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_3	50	60936.4	155771	7471.09
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_3	53	62493	158321	8987.3
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_3	54	65081.8	160767	6835.13
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_3	55	65644.4	161368	7862.5
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_3	56	70026.7	170081	4740.81
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_3	58	72651.5	171812	4788.37
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_3	69	85383.9	187246	5296.61
23-08-14_motorNeurons_SUNTAG307_MG132_002_XY1_555S.tif	Cell_1	75	154020	88225.3	5291.48
23-08-14_motorNeurons_SUNTAG307_MG132_002_XY1_555S.tif	Cell_1	83	152799	98769.7	5175.73
23-08-14_motorNeurons_SUNTAG307_MG132_002_XY1_555S.tif	Cell_1	87	154693	108003	4935.89
23-08-14_motorNeurons_SUNTAG307_MG132_002_XY1_555S.tif	Cell_1	99	152596	112101	4090.3
23-08-14_motorNeurons_SUNTAG307_MG132_002_XY1_555S.tif	Cell_1	101	152503	112312	4095.4
23-08-14_motorNeurons_SUNTAG307_MG132_002_XY1_555S.tif	Cell_1	107	148506	114249	4685.24
23-08-14_motorNeurons_SUNTAG307_MG132_002_XY1_555S.tif	Cell_2	143	123522	134851	4899.15
23-08-14_motorNeurons_SUNTAG307_MG132_002_XY1_555S.tif	Cell_2	160	104711	135614	4953.81
23-08-14_motorNeurons_SUNTAG307_MG132_002_XY1_555S.tif	Cell_2	168	105848	135878	6141.5
23-08-14_motorNeurons_SUNTAG307_MG132_002_XY1_555S.tif	Cell_2	178	84073.1	136464	4392.63
23-08-14_motorNeurons_SUNTAG307_MG132_002_XY1_555S.tif	Cell_2	185	73118.1	139901	7328.72
23-08-14_motorNeurons_SUNTAG307_MG132_002_XY1_555S.tif	Cell_2	187	72892.3	139910	7135.05
23-08-14_motorNeurons_SUNTAG307_MG132_002_XY1_555S.tif	Cell_2	189	78949.1	140646	8120.49
23-08-14_motorNeurons_SUNTAG307_MG132_002_XY1_555S.tif	Cell_2	190	71540.9	142467	5174.58
23-08-14_motorNeurons_SUNTAG307_MG132_002_XY1_555S.tif	Cell_2	191	70534	143319	5089.09
23-08-14_motorNeurons_SUNTAG307_MG132_002_XY1_555S.tif	Cell_3	200	137200	155386	5380.9
23-08-14_motorNeurons_SUNTAG307_MG132_002_XY1_555S.tif	Cell_3	208	137444	163050	4420.85
23-08-14_motorNeurons_SUNTAG307_MG132_004_XY1_555S.tif	Cell_1	217	117826	120507	6321.49
23-08-14_motorNeurons_SUNTAG307_MG132_004_XY1_555S.tif	Cell_1	246	138292	128663	2211.61
